,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
Neuroscience & Behavior,57911.0,0.9999999999999997,0.30746385100132284,0.5254207057264847,0.7706942822451928,0.7242841167569026,0.7969631193199683,0.9593818188537699,0.5254207057264847,1.0000000000000002,0.307463851001323
Materials Science,179414.0,0.9999999999999991,0.24363033865731146,0.4029122750440746,0.8716352374446423,0.8264780137875408,0.6303191803575922,0.9467640962344344,0.4029122750440742,0.999999999999999,0.24363033865731157
Computer Science,75009.0,1.0,0.14332376862693846,0.35545888994418,0.719973793363064,0.6994703852254076,0.6843401809350736,0.9115513033638335,0.35545888994418007,0.9999999999999999,0.14332376862693855
Chemistry,235686.0,1.000000000000001,0.17759658677232118,0.3247977335602994,0.8705495736488228,0.8376357492947647,0.5849595974056596,0.958993360193696,0.3247977335602993,1.0000000000000004,0.17759658677232104
Biology & Biochemistry,89531.0,1.0000000000000002,0.13949819088722168,0.2766659806744325,0.7572673498703983,0.6170923959822168,0.7594346489418773,0.9595915988399301,0.27666598067443265,0.9999999999999998,0.13949819088722165
Economics & Business,45936.0,1.0000000000000002,0.09016221465095027,0.26676012665076737,0.7090842542355359,0.5899489001800579,0.7641071586890086,0.8841884999658187,0.2667601266507671,0.9999999999999998,0.09016221465095037
Engineering,319145.0,0.9999999999999997,0.1769162081800264,0.25864399812802497,0.9332825801085102,0.8510427804520079,0.5487710151771674,0.9560970146099572,0.25864399812802497,0.9999999999999987,0.17691620818002624
Psychiatry/Psychology,61619.0,0.9999999999999999,0.12223657722021092,0.21762777193051466,0.7913994411568791,0.6125639049302846,0.7395600550433227,0.789289529098724,0.2176277719305147,1.0,0.12223657722021102
Physics,120167.0,1.0,0.053220985787538415,0.1640771288001342,0.7601726136937981,0.755182244425536,0.5604323087579284,0.85679005654003,0.16407712880013423,1.0,0.05322098578753844
Mathematics,56426.0,1.0000000000000007,0.004762352606188932,0.15273521412386407,0.6487763889722702,0.6249326062448748,0.6602042580237587,0.8631142664199664,0.15273521412386395,1.0000000000000007,0.004762352606188939
Space Science,18690.0,1.0000000000000002,0.03392683213041198,0.12317940560220274,0.6715186753291711,0.4875905811448025,0.7697780863259941,0.39830032595954157,0.12317940560220281,0.9999999999999997,0.033926832130412
Pharmacology & Toxicology,61793.0,1.0000000000000004,0.011409876455340978,0.07964920233709785,0.6747517962996153,0.48549966137669637,0.743963318727299,0.8240174846517869,0.07964920233709787,1.0000000000000004,0.011409876455340995
Molecular Biology & Genetics,48058.0,1.0000000000000002,0.05346702847369785,0.06266013178068364,0.7069165239320315,0.4685106109347992,0.788020846536465,0.8527143074181014,0.06266013178068365,1.0000000000000007,0.05346702847369783
Clinical Medicine,413753.0,1.0000000000000009,-0.013835669793706661,-0.003588933626282751,0.941619928171281,0.8023602618296566,0.472962039083382,0.8853532929273664,-0.003588933626282742,1.0000000000000002,-0.013835669793706592
"Social Sciences, general",144878.0,1.0000000000000004,-0.04311849160017551,-0.0374242419013474,0.8769688964827768,0.7316112864726434,0.5498365078307094,0.910608820026113,-0.037424241901347334,1.0,-0.04311849160017552
Agricultural Sciences,78434.0,1.0000000000000002,-0.05157791759801217,-0.07625886411647491,0.6877105435257412,0.6141647630522923,0.6083965541534923,0.8249668127671719,-0.07625886411647491,0.9999999999999993,-0.05157791759801211
Geosciences,74557.0,0.9999999999999994,-0.04142977715178674,-0.10000689749199948,0.7172277295825108,0.6221383927332068,0.6277342223527936,0.8344811251626542,-0.10000689749199938,1.0000000000000004,-0.04142977715178675
Multidisciplinary,4025.0,0.9999999999999998,-0.1530420989083793,-0.13609105095319732,0.26781307359110956,0.09856829771686582,0.8695887358037976,0.7900037329738534,-0.13609105095319737,1.0000000000000007,-0.1530420989083793
Immunology,35184.0,1.0,-0.09667453333725025,-0.17271167080436722,0.6597280725440577,0.7522911076863179,0.4196723990136904,0.593463780221544,-0.1727116708043672,1.0,-0.09667453333725023
Plant & Animal Science,97445.0,1.0000000000000002,-0.13036496762397864,-0.18262936848611616,0.7305477710555428,0.763623673294226,0.4091399426065456,0.7789081371223032,-0.18262936848611627,1.000000000000001,-0.13036496762397864
Microbiology,30687.0,1.0,-0.11427680319762268,-0.22456593172125802,0.607881186113902,0.48716727736927823,0.6972651964835086,0.7804759852139364,-0.224565931721258,1.0,-0.11427680319762264
Environment/Ecology,99151.0,0.9999999999999997,-0.11968985088946194,-0.23600786571603574,0.7333914258207528,0.7708864630839133,0.40099622127001505,0.7365632841987169,-0.23600786571603571,0.9999999999999989,-0.1196898508894618
